Complexity,Loss,Equation
1,8589.388,"400.4277"
3,8118.285,"n + 395.0062"
4,1586.6719,"log(n) * 248.0675"
5,212.22232,"210.11917 - (n * -35.056995)"
6,57.63775,"log(n - -1.1104075) * 223.1"
8,30.327257,"log(n - (-2.1428273 / n)) * 234.98422"
9,20.637844,"(n * ((n * -2.2334158) + 61.88462)) + 145.52458"
11,13.370627,"(log(n + 3.1669974) * 303.38654) - (tan(n) - -239.8731)"
12,9.444021,"(((n * -2.1337416) + 60.539482) * n) + (147.63962 - tan(n))"
13,3.225076,"(log(n + 3.2079206) * 300.52252) - (tan(n + -0.08683899) - -237.23563)"
16,2.7799084,"(log(n + 3.273188) * 301.66415) - ((sin(n) + tan(n + -0.09221707)) - -242.46718)"
18,1.1065826,"(301.67682 * log(n + 3.2751129)) - ((tan(n / 0.8101862) - -242.54706) + tan(n + -0.09202261))"
20,0.08547282,"221.87047 - (n * ((((n + cos(n - 0.16358557)) - 19.766966) - (n * -0.5387322)) * (n * 0.59687155)))"
21,0.084655054,"212.75212 - (((n * ((cos(n + -0.07075026) + (n - 30.70564)) - (log(n) * -6.5431414))) * n) * 0.49928468)"
22,0.012490368,"213.06877 - (n * (((((n - 18.723473) - (n * -0.49676245)) + cos(0.13401692 - n)) * (n * 0.5502986)) + -6.848923))"
24,0.012488007,"(212.71147 - (n * (((((cos(n - 0.13396014) + (n - 18.72112)) - (n * -0.49666905)) * 0.5501956) * n) + -6.863503))) + 0.33900964"
27,0.010572991,"212.54988 - (((n * ((n * (((cos(0.16958782 - n) + (n - 18.27477)) - (n * -0.46482635)) * 0.5815029)) + -7.1678095)) + n) - sin(n))"
28,0.0067058466,"(212.49359 - (((((cos(n - 0.13455121) - 18.255213) + (n - (n * -0.46252578))) * (0.5671928 * n)) + -6.8768463) * n)) - (cos(n) * sin(n))"
29,0.00074671645,"212.44743 - (((((((n - (n * -0.47405607)) + (cos(0.13324158 - n) - 18.397058)) * 0.5591651) * n) + -7.0821676) * n) + (sin(n + n) * 0.29769388))"
